Year,MONTH_NUM,MONTH_NAME_ENG,MONTH_NAME_ES,WEEK,START_DATE,END_DATE
2019,1,JAN,ENE,201901,30/12/2018,05/01/2019
2019,1,JAN,ENE,201902,06/01/2019,12/01/2019
2019,1,JAN,ENE,201903,13/01/2019,19/01/2019
2019,1,JAN,ENE,201904,20/01/2019,26/01/2019
2019,2,FEB,FEB,201905,27/01/2019,02/02/2019
2019,2,FEB,FEB,201906,03/02/2019,09/02/2019
2019,2,FEB,FEB,201907,10/02/2019,16/02/2019
2019,2,FEB,FEB,201908,17/02/2019,23/02/2019
2019,3,MAR,MAR,201909,24/02/2019,02/03/2019
2019,3,MAR,MAR,201910,03/03/2019,09/03/2019
2019,3,MAR,MAR,201911,10/03/2019,16/03/2019
2019,3,MAR,MAR,201912,17/03/2019,23/03/2019
2019,3,MAR,MAR,201913,24/03/2019,30/03/2019
2019,4,APR,ABR,201914,31/03/2019,06/04/2019
2019,4,APR,ABR,201915,07/04/2019,13/04/2019
2019,4,APR,ABR,201916,14/04/2019,20/04/2019
2019,4,APR,ABR,201917,21/04/2019,27/04/2019
2019,5,MAY,MAY,201918,28/04/2019,04/05/2019
2019,5,MAY,MAY,201919,05/05/2019,11/05/2019
2019,5,MAY,MAY,201920,12/05/2019,18/05/2019
2019,5,MAY,MAY,201921,19/05/2019,25/05/2019
2019,6,JUN,JUN,201922,26/05/2019,01/06/2019
2019,6,JUN,JUN,201923,02/06/2019,08/06/2019
2019,6,JUN,JUN,201924,09/06/2019,15/06/2019
2019,6,JUN,JUN,201925,16/06/2019,22/06/2019
2019,6,JUN,JUN,201926,23/06/2019,29/06/2019
2019,7,JUL,JUL,201927,30/06/2019,06/07/2019
2019,7,JUL,JUL,201928,07/07/2019,13/07/2019
2019,7,JUL,JUL,201929,14/07/2019,20/07/2019
2019,7,JUL,JUL,201930,21/07/2019,27/07/2019
2019,8,AUG,AGO,201931,28/07/2019,03/08/2019
2019,8,AUG,AGO,201932,04/08/2019,10/08/2019
2019,8,AUG,AGO,201933,11/08/2019,17/08/2019
2019,8,AUG,AGO,201934,18/08/2019,24/08/2019
2019,9,SEP,SEP,201935,25/08/2019,31/08/2019
2019,9,SEP,SEP,201936,01/09/2019,07/09/2019
2019,9,SEP,SEP,201937,08/09/2019,14/09/2019
2019,9,SEP,SEP,201938,15/09/2019,21/09/2019
2019,9,SEP,SEP,201939,22/09/2019,28/09/2019
2019,10,OCT,OCT,201940,29/09/2019,05/10/2019
2019,10,OCT,OCT,201941,06/10/2019,12/10/2019
2019,10,OCT,OCT,201942,13/10/2019,19/10/2019
2019,10,OCT,OCT,201943,20/10/2019,26/10/2019
2019,11,NOV,NOV,201944,27/10/2019,02/11/2019
2019,11,NOV,NOV,201945,03/11/2019,09/11/2019
2019,11,NOV,NOV,201946,10/11/2019,16/11/2019
2019,11,NOV,NOV,201947,17/11/2019,23/11/2019
2019,12,DEC,DIC,201948,24/11/2019,30/11/2019
2019,12,DEC,DIC,201949,01/12/2019,07/12/2019
2019,12,DEC,DIC,201950,08/12/2019,14/12/2019
2019,12,DEC,DIC,201951,15/12/2019,21/12/2019
2019,12,DEC,DIC,201952,22/12/2019,28/12/2019
2020,1,JAN,ENE,202001,29/12/2019,04/01/2020
2020,1,JAN,ENE,202002,05/01/2020,11/01/2020
2020,1,JAN,ENE,202003,12/01/2020,18/01/2020
2020,1,JAN,ENE,202004,19/01/2020,25/01/2020
2020,2,FEB,FEB,202005,26/01/2020,01/02/2020
2020,2,FEB,FEB,202006,02/02/2020,08/02/2020
2020,2,FEB,FEB,202007,09/02/2020,15/02/2020
2020,2,FEB,FEB,202008,16/02/2020,22/02/2020
2020,3,MAR,MAR,202009,23/02/2020,29/02/2020
2020,3,MAR,MAR,202010,01/03/2020,07/03/2020
2020,3,MAR,MAR,202011,08/03/2020,14/03/2020
2020,3,MAR,MAR,202012,15/03/2020,21/03/2020
2020,3,MAR,MAR,202013,22/03/2020,28/03/2020
2020,4,APR,ABR,202014,29/03/2020,04/04/2020
2020,4,APR,ABR,202015,05/04/2020,11/04/2020
2020,4,APR,ABR,202016,12/04/2020,18/04/2020
2020,4,APR,ABR,202017,19/04/2020,25/04/2020
2020,5,MAY,MAY,202018,26/04/2020,02/05/2020
2020,5,MAY,MAY,202019,03/05/2020,09/05/2020
2020,5,MAY,MAY,202020,10/05/2020,16/05/2020
2020,5,MAY,MAY,202021,17/05/2020,23/05/2020
2020,6,JUN,JUN,202022,24/05/2020,30/05/2020
2020,6,JUN,JUN,202023,31/05/2020,06/06/2020
2020,6,JUN,JUN,202024,07/06/2020,13/06/2020
2020,6,JUN,JUN,202025,14/06/2020,20/06/2020
2020,6,JUN,JUN,202026,21/06/2020,27/06/2020
2020,7,JUL,JUL,202027,28/06/2020,04/07/2020
2020,7,JUL,JUL,202028,05/07/2020,11/07/2020
2020,7,JUL,JUL,202029,12/07/2020,18/07/2020
2020,7,JUL,JUL,202030,19/07/2020,25/07/2020
2020,8,AUG,AGO,202031,26/07/2020,01/08/2020
2020,8,AUG,AGO,202032,02/08/2020,08/08/2020
2020,8,AUG,AGO,202033,09/08/2020,15/08/2020
2020,8,AUG,AGO,202034,16/08/2020,22/08/2020
2020,9,SEP,SEP,202035,23/08/2020,29/08/2020
2020,9,SEP,SEP,202036,30/08/2020,05/09/2020
2020,9,SEP,SEP,202037,06/09/2020,12/09/2020
2020,9,SEP,SEP,202038,13/09/2020,19/09/2020
2020,9,SEP,SEP,202039,20/09/2020,26/09/2020
2020,10,OCT,OCT,202040,27/09/2020,03/10/2020
2020,10,OCT,OCT,202041,04/10/2020,10/10/2020
2020,10,OCT,OCT,202042,11/10/2020,17/10/2020
2020,10,OCT,OCT,202043,18/10/2020,24/10/2020
2020,11,NOV,NOV,202044,25/10/2020,31/10/2020
2020,11,NOV,NOV,202045,01/11/2020,07/11/2020
2020,11,NOV,NOV,202046,08/11/2020,14/11/2020
2020,11,NOV,NOV,202047,15/11/2020,21/11/2020
2020,12,DEC,DIC,202048,22/11/2020,28/11/2020
2020,12,DEC,DIC,202049,29/11/2020,05/12/2020
2020,12,DEC,DIC,202050,06/12/2020,12/12/2020
2020,12,DEC,DIC,202051,13/12/2020,19/12/2020
2020,12,DEC,DIC,202052,20/12/2020,26/12/2020
2020,12,DEC,DIC,202053,27/12/2020,02/01/2021
2021,1,JAN,ENE,202101,03/01/2021,09/01/2021
2021,1,JAN,ENE,202102,10/01/2021,16/01/2021
2021,1,JAN,ENE,202103,17/01/2021,23/01/2021
2021,1,JAN,ENE,202104,24/01/2021,30/01/2021
2021,2,FEB,FEB,202105,31/01/2021,06/02/2021
2021,2,FEB,FEB,202106,07/02/2021,13/02/2021
2021,2,FEB,FEB,202107,14/02/2021,20/02/2021
2021,2,FEB,FEB,202108,21/02/2021,27/02/2021
2021,3,MAR,MAR,202109,28/02/2021,06/03/2021
2021,3,MAR,MAR,202110,07/03/2021,13/03/2021
2021,3,MAR,MAR,202111,14/03/2021,20/03/2021
2021,3,MAR,MAR,202112,21/03/2021,27/03/2021
2021,3,MAR,MAR,202113,28/03/2021,03/04/2021
